3.179		-1.114	6.034
3.263		-1.004	5.962
3.351		-0.8306	5.93
3.444		-0.6503	5.975
3.542		-0.5248	6.086
3.647		-0.4928	6.219
3.757		-0.5587	6.319
3.874		-0.6995	6.341
3.999		-0.8733	6.251
4.133		-1.019	6.027
